Height
64.9
65.1
65.2
65.9
66
66
66
66.3
66.8
67.5
67.8
68.3
68.9
69.2
69.6
69.6
69.8
69.8
69.9
69.9
70.1
70.1
70.2
70.3
70.4
70.7
71
71
71.8
72
72.6
73.9
75.9
